Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
1;5831;Sofia University;BGR;Universities;1
2;6549;Medical University of Varna Prof Dr Paraskev Stoyano;BGR;Universities;1
3;6755;Medical University of Sofia *;BGR;Universities;1
4;6968;Medical University - Plovdiv;BGR;Universities;1
5;7448;University of Plovdiv Paisii Hilendarski;BGR;Universities;2
6;8027;University of Food Technologies, Plovdiv;BGR;Universities;1
7;8366;University of Rousse;BGR;Universities;2
8;8418;University of Chemical Technology and Metallurgy;BGR;Universities;1
9;8465;University of Forestry Sofia;BGR;Universities;1
10;8628;University of National and World Economy;BGR;Universities;2
11;8650;New Bulgarian University;BGR;Universities;2
12;8654;Technical University of Sofia;BGR;Universities;2
13;9237;Trakia University;BGR;Universities;2
14;9295;South West University Neofit Rilski;BGR;Universities;3
15;9599;University of Architecture, Civil Engineering and Geodesy;BGR;Universities;3
16;9817;Agricultural University of Plovdiv;BGR;Universities;3
17;9962;Technical University of Varna;BGR;Universities;2
18;10265;Technical University of Gabrovo;BGR;Universities;3
19;10429;Prof Dr Assen Zlatarov University;BGR;Universities;4
